Price,Open,High,Low,Vol.,Day,Month,Year,DayOfWeek,
"1,415.80","1,351.90","1,448.70","1,342.80",100.44,1,5,2017,0,"1,415.80"
"1,445.90","1,415.80","1,471.10","1,394.80",70.01,2,5,2017,1,"1,445.90"
"1,485.60","1,445.90","1,496.40","1,424.10",81.72,3,5,2017,2,"1,485.60"
"1,516.80","1,485.60","1,609.80","1,437.10",136.71,4,5,2017,3,"1,516.80"
"1,507.80","1,516.80","1,588.10","1,485.00",120.38,5,5,2017,4,"1,507.80"
"1,545.30","1,507.80","1,560.40","1,503.90",59.6,6,5,2017,5,"1,545.30"
"1,554.40","1,545.30","1,572.90","1,495.20",71.36,7,5,2017,6,"1,554.40"
"1,664.50","1,554.40","1,667.70","1,552.90",107.23,8,5,2017,0,"1,664.50"
"1,697.50","1,664.50","1,757.40","1,620.00",127.23,9,5,2017,1,"1,697.50"
"1,752.30","1,697.50","1,766.20","1,665.00",89.68,10,5,2017,2,"1,752.30"
"1,819.30","1,752.30","1,864.80","1,741.50",109.01,11,5,2017,3,"1,819.30"
"1,686.40","1,819.30","1,822.50","1,641.20",109.34,12,5,2017,4,"1,686.40"
"1,763.70","1,686.40","1,770.50","1,594.60",75.47,13,5,2017,5,"1,763.70"
"1,772.60","1,763.70","1,802.80","1,736.10",40.64,14,5,2017,6,"1,772.60"
"1,708.90","1,772.60","1,776.70","1,656.80",80.24,15,5,2017,0,"1,708.90"
"1,729.30","1,708.90","1,752.60","1,653.70",75.54,16,5,2017,1,"1,729.30"
"1,801.30","1,729.30","1,842.80","1,704.00",94.62,17,5,2017,2,"1,801.30"
"1,881.00","1,801.30","1,980.50","1,791.10",73.1,18,5,2017,3,"1,881.00"
"1,962.00","1,881.00","1,969.70","1,875.30",98.76,19,5,2017,4,"1,962.00"
"2,040.20","1,962.00","2,048.40","1,944.40",89.86,20,5,2017,5,"2,040.20"
"2,044.20","2,040.20","2,094.90","1,980.10",78.78,21,5,2017,6,"2,044.20"
"2,124.40","2,044.20","2,264.80","1,998.60",174.38,22,5,2017,0,"2,124.40"
"2,272.60","2,124.40","2,286.30","2,110.80",114.18,23,5,2017,1,"2,272.60"
"2,445.30","2,272.60","2,497.00","2,263.30",149.26,24,5,2017,2,"2,445.30"
"2,307.20","2,445.30","2,781.80","2,210.50",248.44,25,5,2017,3,"2,307.00"
"2,244.90","2,307.00","2,616.50","2,051.40",191.49,26,5,2017,4,"2,244.90"
"2,052.40","2,244.90","2,322.40","1,868.60",222.95,27,5,2017,5,"2,052.40"
"2,189.00","2,052.40","2,300.50","2,051.10",125,28,5,2017,6,"2,189.00"
"2,278.20","2,189.00","2,337.40","2,117.30",92.24,29,5,2017,0,"2,278.20"
"2,192.60","2,278.20","2,329.30","2,147.10",120.96,30,5,2017,1,"2,192.60"
"2,303.30","2,192.60","2,330.60","2,168.40",117.75,31,5,2017,2,"2,303.30"
"2,412.60","2,303.30","2,460.80","2,303.30",122.7,1,6,2017,3,"2,412.60"
"2,492.60","2,412.60","2,494.00","2,385.60",83.03,2,6,2017,4,"2,492.60"
"2,545.40","2,492.60","2,582.80","2,449.90",70.96,3,6,2017,5,"2,545.40"
"2,524.10","2,545.40","2,559.80","2,478.20",59.48,4,6,2017,6,"2,524.10"
"2,705.00","2,524.10","2,705.40","2,523.90",86.69,5,6,2017,0,"2,705.00"
"2,870.50","2,705.00","2,931.20","2,699.70",192.23,6,6,2017,1,"2,870.50"
"2,691.50","2,870.50","2,880.90","2,626.60",122.68,7,6,2017,2,"2,691.50"
"2,798.80","2,691.50","2,808.40","2,623.60",95.42,8,6,2017,3,"2,798.80"
"2,811.40","2,798.80","2,852.10","2,786.10",67.05,9,6,2017,4,"2,811.40"
"2,900.30","2,811.40","2,914.20","2,807.40",86.52,10,6,2017,5,"2,900.30"
"2,973.40","2,900.30","2,977.90","2,867.30",83.03,11,6,2017,6,"2,973.40"
"2,656.80","2,973.40","2,985.10","2,483.60",217.96,12,6,2017,0,"2,656.80"
"2,713.00","2,656.80","2,784.80","2,647.40",116.74,13,6,2017,1,"2,713.00"
"2,467.30","2,713.00","2,803.70","2,349.00",174.19,14,6,2017,2,"2,467.30"
"2,442.50","2,467.30","2,521.60","2,125.60",262.79,15,6,2017,3,"2,442.50"
"2,508.60","2,442.50","2,536.40","2,335.30",117.21,16,6,2017,4,"2,508.60"
"2,655.10","2,508.60","2,690.70","2,454.80",95.95,17,6,2017,5,"2,655.10"
"2,539.60","2,655.10","2,676.00","2,488.60",92,18,6,2017,6,"2,539.60"
"2,616.80","2,539.60","2,617.80","2,518.80",81.83,19,6,2017,0,"2,616.80"
"2,754.40","2,616.80","2,800.50","2,614.00",111.3,20,6,2017,1,"2,754.40"
"2,677.60","2,754.40","2,804.40","2,624.40",116.03,21,6,2017,2,"2,677.60"
"2,722.80","2,677.60","2,757.30","2,623.20",78.3,22,6,2017,3,"2,722.80"
"2,710.40","2,722.80","2,759.70","2,699.50",56.94,23,6,2017,4,"2,710.40"
"2,590.10","2,710.40","2,741.60","2,540.40",86.96,24,6,2017,5,"2,590.10"
"2,541.60","2,590.10","2,660.70","2,472.40",86.97,25,6,2017,6,"2,541.60"
"2,446.10","2,541.60","2,584.80","2,327.30",165.83,26,6,2017,0,"2,446.10"
"2,583.80","2,446.10","2,585.10","2,309.60",159.26,27,6,2017,1,"2,583.80"
"2,577.70","2,583.80","2,616.90","2,490.10",110.42,28,6,2017,2,"2,577.70"
"2,558.40","2,577.70","2,605.90","2,526.50",75.32,29,6,2017,3,"2,558.40"
"2,480.60","2,558.40","2,576.30","2,469.50",73,30,6,2017,4,"2,480.60"
"2,424.60","2,480.60","2,529.60","2,387.50",66.32,1,7,2017,5,"2,424.60"
"2,536.50","2,424.60","2,555.30","2,375.90",67.76,2,7,2017,6,"2,536.50"
"2,572.50","2,536.50","2,617.50","2,506.30",83.42,3,7,2017,0,"2,572.50"
"2,617.30","2,572.50","2,658.70","2,570.00",80.68,4,7,2017,1,"2,617.30"
"2,627.90","2,617.30","2,642.70","2,562.00",89.72,5,7,2017,2,"2,627.90"
"2,614.20","2,627.90","2,634.80","2,581.80",60.16,6,7,2017,3,"2,614.20"
"2,513.90","2,614.20","2,617.50","2,484.70",90.45,7,7,2017,4,"2,513.90"
"2,564.90","2,513.90","2,568.70","2,480.60",54.51,8,7,2017,5,"2,564.90"
"2,511.40","2,564.90","2,576.70","2,509.60",39.16,9,7,2017,6,"2,511.40"
"2,344.00","2,511.40","2,530.30","2,271.80",123.8,10,7,2017,0,"2,344.00"
"2,324.30","2,344.00","2,412.80","2,265.50",146.63,11,7,2017,1,"2,324.30"
"2,403.10","2,324.30","2,424.80","2,262.10",109.52,12,7,2017,2,"2,403.10"
"2,362.40","2,403.10","2,436.70","2,335.00",88.17,13,7,2017,3,"2,362.40"
"2,234.20","2,362.40","2,370.50","2,165.40",114.41,14,7,2017,4,"2,234.20"
"1,975.10","2,234.20","2,237.10","1,974.00",155.32,15,7,2017,5,"1,975.10"
"1,914.10","1,975.10","2,044.40","1,809.00",189.64,16,7,2017,6,"1,914.10"
"2,233.40","1,914.10","2,233.80","1,913.80",176.89,17,7,2017,0,"2,233.40"
"2,320.20","2,233.40","2,400.70","2,164.60",202.62,18,7,2017,1,"2,320.20"
"2,282.60","2,320.20","2,412.40","2,243.10",154.32,19,7,2017,2,"2,282.60"
"2,866.00","2,282.60","2,932.80","2,282.10",310.34,20,7,2017,3,"2,866.00"
"2,675.10","2,866.00","2,874.00","2,622.50",193.76,21,7,2017,4,"2,675.10"
"2,836.50","2,675.10","2,876.70","2,658.60",121.92,22,7,2017,5,"2,836.50"
"2,756.60","2,836.50","2,856.70","2,675.60",108.23,23,7,2017,6,"2,756.60"
"2,763.40","2,756.60","2,798.90","2,715.70",83.01,24,7,2017,0,"2,763.40"
"2,582.60","2,763.40","2,779.10","2,472.60",205.88,25,7,2017,1,"2,582.60"
"2,559.20","2,582.60","2,631.70","2,441.50",135.5,26,7,2017,2,"2,559.20"
"2,691.90","2,559.20","2,712.90","2,547.70",103.83,27,7,2017,3,"2,691.90"
"2,806.80","2,691.90","2,843.80","2,683.60",138.91,28,7,2017,4,"2,806.80"
"2,733.50","2,806.80","2,812.10","2,699.40",84.49,29,7,2017,5,"2,733.50"
"2,766.50","2,733.50","2,773.10","2,621.70",82.72,30,7,2017,6,"2,766.50"
"2,883.30","2,766.50","2,916.30","2,723.10",91.12,31,7,2017,0,"2,883.30"
"2,747.00","2,883.30","2,946.00","2,659.60",123.17,1,8,2017,1,"2,747.00"
"2,720.50","2,747.00","2,773.80","2,668.90",81.82,2,8,2017,2,"2,720.50"
"2,810.00","2,720.50","2,822.90","2,717.60",68.1,3,8,2017,3,"2,810.00"
"2,878.50","2,810.00","2,892.70","2,779.50",68.76,4,8,2017,4,"2,878.50"
"3,262.80","2,878.50","3,344.00","2,875.90",159.4,5,8,2017,5,"3,262.80"
"3,232.00","3,262.80","3,295.10","3,166.50",60.66,6,8,2017,6,"3,232.00"
"3,401.90","3,232.00","3,425.10","3,198.50",88.11,7,8,2017,0,"3,401.90"
"3,429.40","3,401.90","3,494.90","3,357.10",106.94,8,8,2017,1,"3,429.40"
"3,348.80","3,429.40","3,437.10","3,251.00",97.06,9,8,2017,2,"3,348.80"
"3,425.70","3,348.80","3,453.80","3,322.90",71,10,8,2017,3,"3,425.70"
"3,654.40","3,425.70","3,706.50","3,409.80",97.56,11,8,2017,4,"3,654.40"
